date,drones,drone_naf,target1,target3,unknown,unknown2,mil_act,ramadan
18504,0,0,0,0,0,0,2,1
18505,0,0,0,0,0,0,2,1
18506,0,0,0,0,0,0,1,1
18507,0,0,0,0,0,0,0,1
18508,2,2,0,0,2,2,0,1
18509,1,2,0,0,2,2,1,1
18510,0,0,0,0,0,0,0,1
18511,1,1,0,0,1,1,1,1
18512,0,0,0,0,0,0,0,1
18513,3,3,1,0,2,3,0,1
18514,1,1,0,0,1,1,0,1
18515,0,0,0,0,0,0,0,0
18516,0,0,0,0,0,0,0,0
18517,1,1,1,0,0,1,0,0
18518,0,0,0,0,0,0,0,0
18519,2,2,0,1,2,1,0,0
18520,2,2,0,0,2,2,1,0
18521,0,0,0,0,0,0,1,0
18522,0,0,0,0,0,0,1,0
18523,0,0,0,0,0,0,0,0
18524,1,1,0,0,1,1,0,0
18525,1,1,0,0,1,1,2,0
18526,2,2,1,0,1,2,1,0
18527,0,0,0,0,0,0,0,0
18528,0,0,0,0,0,0,1,0
18529,0,0,0,0,0,0,0,0
18530,1,1,0,1,1,0,0,0
18531,3,3,0,0,3,3,0,0
18532,1,1,0,0,1,1,0,0
18533,1,1,0,0,1,1,1,0
18534,0,0,0,0,0,0,0,0
18535,0,0,0,0,0,0,0,0
18536,0,0,0,0,0,0,2,0
18537,2,2,2,0,0,2,0,0
18538,0,0,0,0,0,0,3,0
18539,1,1,0,0,1,1,2,0
18540,0,0,0,0,0,0,1,0
18541,2,2,0,0,2,2,3,0
18542,1,1,0,0,1,1,2,0
18543,2,1,0,0,1,1,0,0
18544,0,0,0,0,0,0,1,0
18545,1,1,0,0,1,1,0,0
18546,0,0,0,0,0,0,5,0
18547,0,0,0,0,0,0,3,0
18548,1,1,0,0,1,1,3,0
18549,0,0,0,0,0,0,2,0
18550,2,2,0,0,2,2,0,0
18551,0,0,0,0,0,0,1,0
18552,0,0,0,0,0,0,0,0
18553,1,1,0,0,1,1,2,0
18554,0,0,0,0,0,0,2,0
18555,0,0,0,0,0,0,2,0
18556,0,0,0,0,0,0,1,0
18557,0,0,0,0,0,0,5,0
18558,0,0,0,0,0,0,4,0
18559,0,0,0,0,0,0,2,0
18560,0,0,0,0,0,0,0,0
18561,0,0,0,0,0,0,1,0
18562,2,2,1,0,1,2,0,0
18563,1,1,0,0,1,1,1,0
18564,0,0,0,0,0,0,2,0
18565,0,0,0,0,0,0,0,0
18566,0,0,0,0,0,0,1,0
18567,1,1,0,0,1,1,0,0
18568,0,0,0,0,0,0,2,0
18569,3,3,0,0,3,3,1,0
18570,0,0,0,0,0,0,0,0
18571,0,0,0,0,0,0,0,0
18572,0,0,0,0,0,0,1,0
18573,2,2,0,0,2,2,1,0
18574,0,0,0,0,0,0,0,0
18575,0,0,0,0,0,0,0,0
18576,0,0,0,0,0,0,1,0
18577,1,1,0,0,1,1,0,0
18578,0,0,0,0,0,0,1,0
18579,1,1,0,0,1,1,1,0
18580,0,0,0,0,0,0,0,0
18581,0,0,0,0,0,0,0,0
18582,1,1,0,0,1,1,0,0
18583,0,0,0,0,0,0,0,0
18584,0,0,0,0,0,0,0,0
18585,1,1,0,0,1,1,0,0
18586,0,0,0,0,0,0,0,0
18587,1,1,0,0,1,1,0,0
18588,1,1,0,0,1,1,1,0
18589,0,0,0,0,0,0,1,0
18590,0,0,0,0,0,0,0,0
18591,0,0,0,0,0,0,0,0
18592,1,1,0,0,1,1,3,0
18593,0,0,0,0,0,0,1,0
18594,1,1,0,0,1,1,0,0
18595,0,0,0,0,0,0,1,0
18596,0,0,0,0,0,0,0,0
18597,0,0,0,0,0,0,1,0
18598,0,0,0,0,0,0,0,0
